Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,17.0,2.0,18.0,19.0,0.0,9.60100001,9.60100001,0.0,3.113316535949707,,,,,,,,,,,,,,,,4.0708741169216704,2.933493460430288,9.54133648649883,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,41.0,3.0,25.0,44.0,0.0,16.20400001000001,16.20400001000001,0.0,7.0516393184661865,,,,,,,,,,,,,,,,5.815305556043131,5.488907688378128,16.080513189844815,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,79.0,4.0,39.0,83.0,0.0,16.60500001000001,16.60500001000001,0.0,12.791306257247925,,,,,,,,,,,,,,,,5.47046161560356,4.640213635330751,16.413536004611682,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,121.0,5.0,43.0,126.0,0.0,26.10100001000001,26.10100001000001,0.0,19.00999641418457,,,,,,,,,,,,,,,,11.041520725058197,8.374841376302882,25.662919058606168,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,131.0,6.0,11.0,137.0,0.0,2.30300001,2.30300001,0.0,21.19234609603882,,,,,,,,,,,,,,,,0.5018819172221101,0.7248301679335213,2.3002814723000786,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,165.0,7.0,35.0,172.0,0.0,17.202000010000003,17.202000010000003,0.0,26.57090997695923,,,,,,,,,,,,,,,,5.894060853479066,4.883965349048431,17.018620561543262,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,210.0,8.0,46.0,218.0,0.0,19.70100001,19.70100001,0.0,33.248249769210815,,,,,,,,,,,,,,,,7.651543141526806,5.182467908479273,19.37605662525655,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,225.0,9.0,16.0,234.0,0.0,7.20100001,7.20100001,0.0,36.020031213760376,,,,,,,,,,,,,,,,2.791124466050045,2.283378759036952,7.1662994424517015,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,242.0,10.0,18.0,252.0,0.0,11.60200001,11.60200001,0.0,39.074543476104736,,,,,,,,,,,,,,,,4.59541314064044,3.8451246663088074,11.535413400009125,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,259.0,11.0,18.0,270.0,0.0,9.702000009999999,9.702000009999999,0.0,42.14349722862244,,,,,,,,,,,,,,,,3.5006733878771694,3.158257105960619,9.6521407031092,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,409.0,12.0,151.0,421.0,0.0,84.10400000000004,84.10400000000004,0.0,62.24667501449585,,,,,,,,,,,,,,,,41.34292891713221,21.479833808791664,77.98054120363385,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,417.0,13.0,9.0,430.0,0.0,2.70200001,2.70200001,0.0,64.1481876373291,,,,,,,,,,,,,,,,0.6761082542588357,0.9398207890542156,2.6992904344003295,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,502.0,14.0,86.0,516.0,0.0,40.50100001000001,40.50100001000001,0.0,76.07081866264343,,,,,,,,,,,,,,,,19.22464184867583,10.498725754761967,38.90581126412669,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,512.0,15.0,11.0,527.0,0.0,1.90200001,1.90200001,0.0,78.2184522151947,,,,,,,,,,,,,,,,0.5209743633758179,0.6297787744969434,1.8986889553215636,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,552.0,16.0,41.0,568.0,0.0,24.202000010000006,24.202000010000006,0.0,84.21313834190369,,,,,,,,,,,,,,,,10.696361468940813,7.211955459533966,23.797943494737112,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,598.0,17.0,47.0,615.0,0.0,31.802000010000015,31.802000010000015,0.0,90.91669654846191,,,,,,,,,,,,,,,,12.587880178115787,9.795166210643117,31.254211733540235,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
