Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,619.0,18.0,22.0,637.0,0.0,9.202000009999997,9.202000009999997,0.0,94.49974846839905,,,,,,,,,,,,,,,,3.6000040592731635,2.583483108000515,9.135535460215477,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,655.0,19.0,37.0,674.0,0.0,14.704000009999994,14.704000009999994,0.0,99.9708821773529,,,,,,,,,,,,,,,,5.629428037203431,4.104903118548939,14.515856457117797,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,674.0,20.0,20.0,694.0,0.0,5.1050000099999995,5.1050000099999995,0.0,103.2544674873352,,,,,,,,,,,,,,,,2.743174033104745,1.4910879014148435,5.057937641012022,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,0.0,711.0,21.0,38.0,732.0,0.0,24.501000010000002,24.501000010000002,0.0,109.23035049438477,,,,,,,,,,,,,,,,11.451629092945387,7.103345356075178,24.10139112468571,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,0.0,777.0,22.0,67.0,799.0,0.0,48.10200001000001,48.10200001000001,0.0,118.73098158836365,,,,,,,,,,,,,,,,18.306202437461046,15.034605668469036,46.940731380508076,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,0.0,822.0,23.0,46.0,845.0,0.0,20.702000009999995,20.702000009999995,0.0,125.36358332633972,,,,,,,,,,,,,,,,8.782381489122903,5.02964472295607,20.32711996295243,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,0.0,875.0,24.0,54.0,899.0,0.0,32.40100001000001,32.40100001000001,0.0,132.9896583557129,,,,,,,,,,,,,,,,13.01582520358602,9.143865063851804,31.742904178388333,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,0.0,919.0,25.0,45.0,944.0,0.0,16.608000009999998,16.608000009999998,0.0,139.90810227394104,,,,,,,,,,,,,,,,5.7995417901997675,4.1743475913577655,16.3691893605918,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,0.0,945.0,26.0,27.0,971.0,0.0,13.702000009999999,13.702000009999999,0.0,144.0856375694275,,,,,,,,,,,,,,,,6.866794949425151,4.340520303230882,13.537000341656606,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,0.0,1006.0,27.0,62.0,1033.0,0.0,45.30200001,45.30200001,0.0,152.73451900482178,,,,,,,,,,,,,,,,18.44505261840066,13.511711713378858,44.22107287315071,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,0.0,1022.0,28.0,17.0,1050.0,0.0,8.302000009999999,8.302000009999999,0.0,155.84407377243042,,,,,,,,,,,,,,,,2.5943221362770443,2.7536542550757885,8.268759615435005,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,0.0,1032.0,29.0,11.0,1061.0,0.0,5.60200001,5.60200001,0.0,158.087726354599,,,,,,,,,,,,,,,,1.868736472236148,2.001213437636355,5.588901546824463,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,0.0,1041.0,30.0,10.0,1071.0,0.0,3.70200001,3.70200001,0.0,160.12974953651428,,,,,,,,,,,,,,,,1.0117174642262907,1.2985342135990792,3.696591143965929,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0,0.0,1075.0,31.0,35.0,1106.0,0.0,26.601000010000003,26.601000010000003,0.0,165.40607929229736,,,,,,,,,,,,,,,,11.88758208170183,7.864754194903934,26.223045264486625,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,0.0,1096.0,32.0,22.0,1128.0,0.0,10.201000009999998,10.201000009999998,0.0,168.95303606987,,,,,,,,,,,,,,,,3.5398785979491842,2.978834783747082,10.136799358801868,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,0.0,1114.0,33.0,19.0,1147.0,0.0,7.002000009999999,7.002000009999999,0.0,172.14859867095947,,,,,,,,,,,,,,,,2.050503294092944,2.167455770288287,6.972063013720046,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0,0.0,1145.0,34.0,32.0,1179.0,0.0,20.401000010000008,20.401000010000008,0.0,176.96226453781128,,,,,,,,,,,,,,,,8.416549356589055,6.534192408583115,20.16024722717291,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0,0.0,1154.0,35.0,10.0,1189.0,0.0,2.80100001,2.80100001,0.0,179.003258228302,,,,,,,,,,,,,,,,0.8109312377304103,0.9193204827819714,2.7964981269874136,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0,0.0,1196.0,36.0,43.0,1232.0,0.0,20.40100001,20.40100001,0.0,185.46602058410645,,,,,,,,,,,,,,,,8.822418287754621,5.376204956624187,20.05050895086517,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.0,0.0,1255.0,37.0,60.0,1292.0,0.0,31.902000010000023,31.902000010000023,0.0,193.8923943042755,,,,,,,,,,,,,,,,12.465729463971314,9.335096600272262,31.197719691317012,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,0.0,1280.0,38.0,26.0,1318.0,0.0,11.001000009999997,11.001000009999997,0.0,197.9777910709381,,,,,,,,,,,,,,,,4.963006250442581,3.050441102384249,10.887812666405344,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0,0.0,1322.0,39.0,43.0,1361.0,0.0,14.106000009999997,14.106000009999997,0.0,204.19605159759521,,,,,,,,,,,,,,,,7.788835844186175,4.147404897291634,13.792661566110292,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,1360.0,40.0,39.0,1400.0,0.0,20.80100001000002,20.80100001000002,0.0,209.98275518417358,,,,,,,,,,,,,,,,7.399002876780668,5.896762473050161,20.540378278961303,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.0,0.0,18.0,1.0,19.0,1419.0,0.0,12.702000009999999,12.702000009999999,0.0,245.53203988075256,,,,,,,,,,,,,,,,4.838282413113627,4.331834123508293,12.627538465028985,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.0,0.0,54.0,2.0,37.0,1456.0,0.0,22.803000010000016,22.803000010000016,0.0,250.98556876182556,,,,,,,,,,,,,,,,8.148961516178206,7.1465427666707635,22.532169564982574,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.0,0.0,86.0,3.0,33.0,1489.0,0.0,8.304000009999994,8.304000009999994,0.0,255.953604221344,,,,,,,,,,,,,,,,3.421805057021273,1.8582414624926846,8.202704953128448,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.0,0.0,234.0,4.0,149.0,1638.0,0.0,66.21600000000001,66.21600000000001,0.0,275.6727726459503,,,,,,,,,,,,,,,,28.893876677638413,20.307810312392217,62.00170795966919,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.0,0.0,266.0,5.0,33.0,1671.0,0.0,20.00100001000001,20.00100001000001,0.0,280.65666675567627,,,,,,,,,,,,,,,,8.070320972362635,5.907324937829599,19.76251225113554,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1.0,0.0,344.0,6.0,79.0,1750.0,0.0,35.109000010000024,35.109000010000024,0.0,291.5075328350067,,,,,,,,,,,,,,,,16.225372543382804,8.398766983865084,33.87729824986601,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1.0,0.0,352.0,7.0,9.0,1759.0,0.0,3.70100001,3.70100001,0.0,293.66036200523376,,,,,,,,,,,,,,,,1.137185639023285,1.3240206617511807,3.6955981230108246,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.0,0.0,395.0,8.0,44.0,1803.0,0.0,26.702000010000006,26.702000010000006,0.0,300.0509626865387,,,,,,,,,,,,,,,,12.056092020689327,8.103654338915288,26.20979785096132,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1.0,0.0,430.0,9.0,36.0,1839.0,0.0,16.601000010000003,16.601000010000003,0.0,305.39605474472046,,,,,,,,,,,,,,,,6.17818618238204,4.8611981305722285,16.401164658274904,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.0,0.0,473.0,10.0,44.0,1883.0,0.0,24.40100001,24.40100001,0.0,311.74426198005676,,,,,,,,,,,,,,,,10.929106244108683,6.276867560248691,23.955003444948268,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.0,0.0,568.0,11.0,96.0,1979.0,0.0,61.90100001000002,61.90100001000002,0.0,324.7403576374054,,,,,,,,,,,,,,,,29.58545004545146,16.170425719118093,59.149531787469606,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.0,0.0,602.0,12.0,35.0,2014.0,0.0,15.202000009999995,15.202000009999995,0.0,330.0358591079712,,,,,,,,,,,,,,,,5.867637728285805,4.38547544776921,15.017517845083367,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1.0,0.0,613.0,13.0,12.0,2026.0,0.0,3.80200001,3.80200001,0.0,332.2989673614502,,,,,,,,,,,,,,,,1.009276172556802,1.2333994099855856,3.7946926647666426,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1.0,0.0,635.0,14.0,23.0,2049.0,0.0,5.904000009999998,5.904000009999998,0.0,336.1979489326477,,,,,,,,,,,,,,,,1.4164516340764566,1.697930215748368,5.8787167908411595,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.0,0.0,691.0,15.0,57.0,2106.0,0.0,35.702000010000006,35.702000010000006,0.0,344.34058237075806,,,,,,,,,,,,,,,,15.104227592520724,10.43879367531498,34.89105431913798,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.0,0.0,725.0,16.0,35.0,2141.0,0.0,12.301000009999996,12.301000009999996,0.0,349.5795900821686,,,,,,,,,,,,,,,,5.379549139465176,3.3260409924849346,12.13022556482301,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1.0,0.0,756.0,17.0,32.0,2173.0,0.0,16.604000010000014,16.604000010000014,0.0,354.42206144332886,,,,,,,,,,,,,,,,5.871389281402449,5.727795304548503,16.438425367644168,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1.0,0.0,795.0,18.0,40.0,2213.0,0.0,16.202000010000006,16.202000010000006,0.0,360.31336998939514,,,,,,,,,,,,,,,,7.964377867346016,4.9269705224166165,15.907296569743252,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1.0,0.0,856.0,19.0,62.0,2275.0,0.0,28.004000010000027,28.004000010000027,0.0,368.98269152641296,,,,,,,,,,,,,,,,12.640189580871677,7.756032835220523,27.26020865422106,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1.0,0.0,882.0,20.0,27.0,2302.0,0.0,17.40100001,17.40100001,0.0,373.20950531959534,,,,,,,,,,,,,,,,6.7445054635937165,5.3750783575507075,17.242885753700264,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1.0,0.0,905.0,21.0,24.0,2326.0,0.0,8.803000009999996,8.803000009999996,0.0,377.2506628036499,,,,,,,,,,,,,,,,3.197804544716235,2.6698727567848937,8.738188694165691,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1.0,0.0,929.0,22.0,25.0,2351.0,0.0,10.708000009999996,10.708000009999996,0.0,381.1960654258728,,,,,,,,,,,,,,,,3.010866068745941,3.4820211172884297,10.646385609960058,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1.0,0.0,968.0,23.0,40.0,2391.0,0.0,17.10300001,17.10300001,0.0,387.0556945800781,,,,,,,,,,,,,,,,6.248535493042426,4.572975689521834,16.876183309080428,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1.0,0.0,992.0,24.0,25.0,2416.0,0.0,13.802000009999999,13.802000009999999,0.0,390.9888551235199,,,,,,,,,,,,,,,,5.1595999611253704,4.344063853114075,13.6918614724054,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1.0,0.0,1149.0,25.0,158.0,2574.0,0.0,94.19999999999996,94.19999999999996,0.0,411.99879789352417,,,,,,,,,,,,,,,,46.54204809388845,28.142381493157234,86.97987832758712,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1.0,0.0,1252.0,26.0,104.0,2678.0,0.0,54.40200001000002,54.40200001000002,0.0,426.0607957839966,,,,,,,,,,,,,,,,25.69490975475356,14.900102885166712,51.80723153679721,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1.0,0.0,1271.0,27.0,20.0,2698.0,0.0,12.70100001,12.70100001,0.0,429.3674759864807,,,,,,,,,,,,,,,,4.994007847662263,4.110624726978092,12.618732593487904,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.0,0.0,1284.0,28.0,14.0,2712.0,0.0,3.6020000100000003,3.6020000100000003,0.0,431.92737650871277,,,,,,,,,,,,,,,,0.8463011128342518,1.0754720373403426,3.5945926882213763,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1.0,0.0,1332.0,29.0,49.0,2761.0,0.0,35.80200001,35.80200001,0.0,439.20903635025024,,,,,,,,,,,,,,,,15.007332389774852,11.329817049886564,35.116764820110916,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1.0,0.0,1344.0,30.0,13.0,2774.0,0.0,6.70200001,6.70200001,0.0,441.6160566806793,,,,,,,,,,,,,,,,2.1807555704782167,2.351496246551273,6.682513456610873,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1.0,0.0,1355.0,31.0,12.0,2786.0,0.0,3.80200001,3.80200001,0.0,443.95866107940674,,,,,,,,,,,,,,,,1.009276172556802,1.2333994099855856,3.7946926647666426,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1.0,0.0,1477.0,32.0,123.0,2909.0,0.0,90.90200000999995,90.90200000999995,0.0,460.5139536857605,,,,,,,,,,,,,,,,39.86398210578703,26.485749686714875,86.12471891200596,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1.0,0.0,1535.0,33.0,59.0,2968.0,0.0,26.502000010000017,26.502000010000017,0.0,468.9374098777771,,,,,,,,,,,,,,,,11.046887101231416,8.061117824672356,25.887167725854436,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1.0,0.0,1562.0,34.0,28.0,2996.0,0.0,13.302000009999999,13.302000009999999,0.0,473.26252269744873,,,,,,,,,,,,,,,,6.315391095943921,4.310884916333488,13.144629079489007,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1.0,0.0,1583.0,35.0,22.0,3018.0,0.0,11.202000009999999,11.202000009999999,0.0,476.8312339782715,,,,,,,,,,,,,,,,4.525363273357678,3.5284423667067073,11.118085466726214,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1.0,0.0,1620.0,36.0,38.0,3056.0,0.0,18.401000010000004,18.401000010000004,0.0,482.47843647003174,,,,,,,,,,,,,,,,6.752059797700995,5.17251509659516,18.169343140625696,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1.0,0.0,1631.0,37.0,12.0,3068.0,0.0,5.70100001,5.70100001,0.0,485.06572341918945,,,,,,,,,,,,,,,,2.060238106516144,1.957728828398078,5.684021412240564,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1.0,0.0,1679.0,38.0,49.0,3117.0,0.0,18.201000009999998,18.201000009999998,0.0,492.0981550216675,,,,,,,,,,,,,,,,7.917606624837845,4.917241849852023,17.83879368569348,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1.0,0.0,1759.0,39.0,81.0,3198.0,0.0,38.90200001000002,38.90200001000002,0.0,503.1869432926178,,,,,,,,,,,,,,,,15.977420232978563,10.93877890898612,37.66146785922095,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1.0,0.0,1795.0,40.0,37.0,3235.0,0.0,9.309000009999995,9.309000009999995,0.0,508.63024377822876,,,,,,,,,,,,,,,,2.9594817081360576,2.4904480916015896,9.211670338845948,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2.0,0.0,6.0,1.0,7.0,3242.0,0.0,1.20100001,1.20100001,0.0,553.8096289634705,,,,,,,,,,,,,,,,0.3672650949575334,0.44200824900980645,1.199996415846101,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2.0,0.0,152.0,2.0,147.0,3389.0,0.0,87.50700000999997,87.50700000999997,0.0,573.2973773479462,,,,,,,,,,,,,,,,38.19899680243899,23.728151468116792,82.01195843527921,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2.0,0.0,242.0,3.0,91.0,3480.0,0.0,47.30600001000001,47.30600001000001,0.0,585.7732846736908,,,,,,,,,,,,,,,,23.501080356644778,12.830725383466206,45.23613891681879,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2.0,0.0,306.0,4.0,65.0,3545.0,0.0,32.60100001000003,32.60100001000003,0.0,594.9012093544006,,,,,,,,,,,,,,,,12.23381738453362,8.747190597852747,31.849885582972828,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2.0,0.0,367.0,5.0,62.0,3607.0,0.0,33.50400001000002,33.50400001000002,0.0,603.6407845020294,,,,,,,,,,,,,,,,13.471353591319893,9.57431166233761,32.71496240333282,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2.0,0.0,395.0,6.0,29.0,3636.0,0.0,12.008000009999995,12.008000009999995,0.0,608.1248564720154,,,,,,,,,,,,,,,,2.9761075875780736,3.808259784352572,11.936605603150968,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2.0,0.0,451.0,7.0,57.0,3693.0,0.0,22.105000009999998,22.105000009999998,0.0,616.1449120044708,,,,,,,,,,,,,,,,9.80866682570128,6.019111121017956,21.577291959720455,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2.0,0.0,534.0,8.0,84.0,3777.0,0.0,45.10500001,45.10500001,0.0,627.8655958175659,,,,,,,,,,,,,,,,21.516497519996808,12.223942921180731,43.36249320904931,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2.0,0.0,547.0,9.0,14.0,3791.0,0.0,4.902000009999999,4.902000009999999,0.0,630.4130630493164,,,,,,,,,,,,,,,,1.2992636122190828,1.5738520834400025,4.889999582623776,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2.0,0.0,587.0,10.0,41.0,3832.0,0.0,21.702000010000003,21.702000010000003,0.0,636.3890311717987,,,,,,,,,,,,,,,,9.894083376247812,6.785118313512504,21.32756423918928,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2.0,0.0,640.0,11.0,54.0,3886.0,0.0,24.601000009999996,24.601000009999996,0.0,644.1124756336212,,,,,,,,,,,,,,,,11.91348178564841,6.32748162394179,23.993579054415058,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
