Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,25.0,1.0,25.0,25.0,0.0,1020.3594005011449,1020.3594005011449,0.0,0.0,,,,,,,,,,,,,,,,414.92913101064636,341.2019410319484,1010.997169395274,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,44.0,2.0,19.0,44.0,0.0,1159.1566528413412,1159.1566528413412,0.0,2.0015413761138916,,,,,,,,,,,,,,,,466.16006867891815,389.0460557607665,1151.451062599041,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,63.0,3.0,19.0,63.0,0.0,1001.8899485110652,1001.8899485110652,0.0,3.877606153488159,,,,,,,,,,,,,,,,381.35716704121705,324.2080503948711,995.6398021394215,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,81.0,4.0,18.0,81.0,0.0,1052.865285694389,1052.865285694389,0.0,5.7603559494018555,,,,,,,,,,,,,,,,380.33458242182894,342.10821014087765,1047.066329540337,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,96.0,5.0,15.0,96.0,0.0,703.971435575164,703.971435575164,0.0,7.3425328731536865,,,,,,,,,,,,,,,,227.04061245477078,226.85330144742403,701.2670934818243,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,116.0,6.0,20.0,116.0,0.0,838.9258363831424,838.9258363831424,0.0,9.296784400939941,,,,,,,,,,,,,,,,262.37296089773656,276.91234007911186,834.5128900552432,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,133.0,7.0,17.0,133.0,0.0,749.1762164166528,749.1762164166528,0.0,11.07679271697998,,,,,,,,,,,,,,,,232.22085620741575,235.18252444831097,745.9744362974242,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,157.0,8.0,24.0,157.0,0.0,1627.4991703277003,1627.4991703277003,0.0,13.275098323822021,,,,,,,,,,,,,,,,693.6721364132159,533.6913943471194,1612.46350255634,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,181.0,9.0,24.0,181.0,0.0,1412.2438629131027,1412.2438629131027,0.0,15.474196195602417,,,,,,,,,,,,,,,,623.945013875348,443.71204620598957,1398.6678504305255,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,196.0,10.0,15.0,196.0,0.0,768.1016153509678,768.1016153509678,0.0,17.264508724212646,,,,,,,,,,,,,,,,259.5295015795122,256.2990267861785,764.9736464737491,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
