Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
19,0.0,0.0,450.0,19.0,18.0,450.0,0.0,441.7988102179621,441.7988102179621,0.0,40.616443395614624,,,,,,,,,,,,,,,,109.30886575462095,139.50431455962004,440.27152215653547,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,532.0,20.0,82.0,532.0,0.0,3644.550030609926,3644.550030609926,0.0,46.73057174682617,,,,,,,,,,,,,,,,1700.474167930379,1050.4464169084313,3508.6197686082437,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,33.0,1.0,33.0,565.0,0.0,1148.7943523024458,1148.7943523024458,0.0,79.9048182964325,,,,,,,,,,,,,,,,390.9377133051886,369.164793533474,1137.030438201576,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,56.0,2.0,23.0,588.0,0.0,799.6946633450833,799.6946633450833,0.0,82.03067302703857,,,,,,,,,,,,,,,,302.18931188709007,260.3062748587618,793.5378470186989,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,80.0,3.0,24.0,612.0,0.0,805.4317547154957,805.4317547154957,0.0,84.41466355323792,,,,,,,,,,,,,,,,288.54700626722445,259.8212191554663,799.3059324975799,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,128.0,4.0,48.0,660.0,0.0,1961.2972037961856,1961.2972037961856,0.0,88.21295285224915,,,,,,,,,,,,,,,,839.7070939152039,601.8698101373832,1922.9141774657214,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,155.0,5.0,27.0,687.0,0.0,826.0482430954817,826.0482430954817,0.0,90.67184805870056,,,,,,,,,,,,,,,,286.96377599023424,262.7639860296559,819.1193404842296,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,172.0,6.0,17.0,704.0,0.0,619.4899980563767,619.4899980563767,0.0,92.60496950149536,,,,,,,,,,,,,,,,203.1471360078879,193.5511948330033,616.6531498941368,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,191.0,7.0,19.0,723.0,0.0,710.456114151054,710.456114151054,0.0,94.44476866722107,,,,,,,,,,,,,,,,258.87464912007175,223.66684323188883,706.2437395573301,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,205.0,8.0,14.0,737.0,0.0,428.8280330977682,428.8280330977682,0.0,96.09228515625,,,,,,,,,,,,,,,,124.20580322157863,140.7963033320453,427.51666852118734,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
